10000	26803	129
10000	14119	20
10000	26718	20
10000	24904	0
10000	26717	13
10000	14120	37
10000	13820	8
10000	15120	54
10000	14919	5
10000	13519	9
10000	14719	32
10000	14820	20
10000	16019	9
10000	26804	61
10000	24902	0
10000	20803	40
10000	25901	38
10000	24903	0
10000	25902	66
10000	13619	7
10000	14019	23
10000	13919	20
10000	14619	14
10000	14420	41
10000	14819	5
10000	20501	0
10000	27303	30
10000	14720	29
10000	25820	0
10000	16020	5
10000	14219	0
10000	25819	0
10000	14519	27
10000	13720	12
10000	14920	0
10005	26803	74
10005	14119	18
10005	26718	16
10005	24904	0
10005	26717	18
10005	14120	28
10005	13820	12
10005	15120	41
10005	14919	11
10005	13519	10
10005	14719	12
10005	14820	13
10005	16019	8
10005	26804	37
10005	24902	0
10005	20803	29
10005	25901	11
10005	24903	0
10005	25902	57
10005	13619	5
10005	14019	30
10005	13919	21
10005	14619	8
10005	14420	37
10005	14819	9
10005	20501	0
10005	27303	24
10005	14720	23
10005	25820	0
10005	16020	4
10005	14219	0
10005	25819	0
10005	14519	27
10005	13720	7
10005	14920	6
10010	26803	96
10010	14119	14
10010	26718	18
10010	24904	0
10010	26717	13
10010	14120	40
10010	13820	9
10010	15120	39
10010	14919	12
10010	13519	6
10010	14719	13
10010	14820	19
10010	16019	7
10010	26804	31
10010	24902	0
10010	20803	48
10010	25901	26
10010	24903	0
10010	25902	66
10010	13619	6
10010	14019	29
10010	13919	19
10010	14619	14
10010	14420	37
10010	14819	13
10010	20501	0
10010	27303	13
10010	14720	25
10010	25820	0
10010	16020	3
10010	14219	0
10010	25819	0
10010	14519	27
10010	13720	10
10010	14920	1
10015	26803	105
10015	14119	18
10015	26718	16
10015	24904	0
10015	26717	18
10015	14120	40
10015	13820	9
10015	15120	42
10015	14919	10
10015	13519	8
10015	14719	13
10015	14820	12
10015	16019	9
10015	26804	41
10015	24902	0
10015	20803	32
10015	25901	20
10015	24903	0
10015	25902	60
10015	13619	3
10015	14019	34
10015	13919	15
10015	14619	13
10015	14420	38
10015	14819	10
10015	20501	0
10015	27303	10
10015	14720	23
10015	25820	0
10015	16020	4
10015	14219	0
10015	25819	0
10015	14519	12
10015	13720	6
10015	14920	3
10020	26803	114
10020	14119	22
10020	26718	23
10020	24904	0
10020	26717	9
10020	14120	30
10020	13820	9
10020	15120	30
10020	14919	4
10020	13519	11
10020	14719	28
10020	14820	17
10020	16019	6
10020	26804	33
10020	24902	0
10020	20803	25
10020	25901	26
10020	24903	0
10020	25902	53
10020	13619	2
10020	14019	26
10020	13919	12
10020	14619	11
10020	14420	38
10020	14819	5
10020	20501	13
10020	27303	17
10020	14720	16
10020	25820	0
10020	16020	4
10020	14219	0
10020	25819	0
10020	14519	20
10020	13720	10
10020	14920	4
10025	26803	109
10025	14119	26
10025	26718	16
10025	24904	0
10025	26717	7
10025	14120	38
10025	13820	10
10025	15120	33
10025	14919	10
10025	13519	16
10025	14719	12
10025	14820	18
10025	16019	8
10025	26804	32
10025	24902	0
10025	20803	48
10025	25901	18
10025	24903	0
10025	25902	62
10025	13619	8
10025	14019	25
10025	13919	19
10025	14619	8
10025	14420	35
10025	14819	7
10025	20501	1
10025	27303	14
10025	14720	28
10025	25820	0
10025	16020	8
10025	14219	0
10025	25819	0
10025	14519	28
10025	13720	9
10025	14920	2
10030	26803	102
10030	14119	17
10030	26718	23
10030	24904	0
10030	26717	14
10030	14120	30
10030	13820	12
10030	15120	31
10030	14919	3
10030	13519	5
10030	14719	19
10030	14820	9
10030	16019	5
10030	26804	39
10030	24902	0
10030	20803	28
10030	25901	13
10030	24903	0
10030	25902	55
10030	13619	3
10030	14019	13
10030	13919	11
10030	14619	11
10030	14420	31
10030	14819	6
10030	20501	0
10030	27303	11
10030	14720	26
10030	25820	0
10030	16020	4
10030	14219	0
